"GEOID","NAME","variable","estimate","moe","Year"
"48","Texas","B01003_001",24311891,NA,2010
"49","Utah","B01003_001",2657236,NA,2010
"50","Vermont","B01003_001",624258,NA,2010
"51","Virginia","B01003_001",7841754,NA,2010
"53","Washington","B01003_001",6561297,NA,2010
"54","West Virginia","B01003_001",1840802,NA,2010
"55","Wisconsin","B01003_001",5637947,NA,2010
"56","Wyoming","B01003_001",545579,NA,2010
"72","Puerto Rico","B01003_001",3762322,NA,2010
"01","Alabama","B01003_001",4747424,NA,2011
"02","Alaska","B01003_001",700703,NA,2011
"04","Arizona","B01003_001",6337373,NA,2011
"05","Arkansas","B01003_001",2895928,NA,2011
"06","California","B01003_001",36969200,NA,2011
"08","Colorado","B01003_001",4966061,NA,2011
"09","Connecticut","B01003_001",3558172,NA,2011
"10","Delaware","B01003_001",890856,NA,2011
"11","District of Columbia","B01003_001",593955,NA,2011
"12","Florida","B01003_001",18688787,NA,2011
"13","Georgia","B01003_001",9600612,NA,2011
"15","Hawaii","B01003_001",1346554,NA,2011
"16","Idaho","B01003_001",1549987,NA,2011
"17","Illinois","B01003_001",12790182,NA,2011
"18","Indiana","B01003_001",6454254,NA,2011
"19","Iowa","B01003_001",3032266,NA,2011
"20","Kansas","B01003_001",2830985,NA,2011
"21","Kentucky","B01003_001",4316040,NA,2011
"22","Louisiana","B01003_001",4484596,NA,2011
"23","Maine","B01003_001",1328543,NA,2011
"24","Maryland","B01003_001",5736545,NA,2011
"25","Massachusetts","B01003_001",6512227,NA,2011
"26","Michigan","B01003_001",9920621,NA,2011
"27","Minnesota","B01003_001",5278190,NA,2011
"28","Mississippi","B01003_001",2956700,NA,2011
"29","Missouri","B01003_001",5955802,NA,2011
"30","Montana","B01003_001",982854,NA,2011
"31","Nebraska","B01003_001",1813061,NA,2011
"32","Nevada","B01003_001",2673396,NA,2011
"33","New Hampshire","B01003_001",1315911,NA,2011
"34","New Jersey","B01003_001",8753064,NA,2011
"35","New Mexico","B01003_001",2037136,NA,2011
